Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTimeSeconds,Position,TireAge,Compound,Stint,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar,PitThisLap
2024,1,Bahrain Grand Prix,ALB,23,Williams,1.0,103.888,11.0,1.0,SOFT,1.0,23.8,18.2,49.0,1017.2,58,1.5,False,0.403,0.461,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,2.0,98.826,11.0,2.0,SOFT,1.0,23.8,18.3,49.0,1017.0,33,1.1,False,0.137,0.085,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,3.0,98.507,11.0,3.0,SOFT,1.0,23.8,18.3,49.0,1017.0,32,1.0,False,0.076,-0.10799999999999998,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,4.0,98.422,11.0,4.0,SOFT,1.0,23.7,18.3,49.0,1017.0,24,0.9,False,0.112,0.075,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,5.0,98.509,11.0,5.0,SOFT,1.0,23.5,18.3,50.0,1017.1,40,1.5,False,0.188,0.067,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,6.0,98.575,11.0,6.0,SOFT,1.0,23.5,18.3,49.0,1017.1,0,0.6,False,0.214,-0.04600000000000004,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,7.0,98.971,11.0,7.0,SOFT,1.0,23.5,18.3,50.0,1017.1,13,0.5,False,0.607,1.087,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,8.0,98.66,11.0,8.0,SOFT,1.0,23.7,18.2,50.0,1017.2,126,1.1,False,0.147,0.512,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,9.0,98.652,11.0,9.0,SOFT,1.0,23.5,18.2,50.0,1017.1,221,0.6,False,0.098,0.209,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,10.0,98.952,11.0,10.0,SOFT,1.0,23.5,18.2,50.0,1017.2,330,0.5,False,0.04,-0.20499999999999996,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,11.0,98.835,11.0,11.0,SOFT,1.0,23.4,18.2,50.0,1017.2,155,0.6,False,0.036,2.253,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,12.0,98.934,9.0,12.0,SOFT,1.0,23.5,18.2,50.0,1017.2,157,0.5,False,0.165,-0.041000000000000036,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,13.0,98.823,6.0,13.0,SOFT,1.0,23.5,18.3,50.0,1017.2,42,0.4,False,-0.03700000000000003,-1.6560000000000001,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,14.0,98.977,5.0,14.0,SOFT,1.0,23.3,18.2,50.0,1017.2,0,0.5,False,-2.161,-3.371,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,15.0,101.171,5.0,15.0,SOFT,1.0,23.5,18.1,50.0,1017.1,0,0.4,False,4.249,-4.358,0,1
2024,1,Bahrain Grand Prix,ALB,23,Williams,16.0,119.341,15.0,1.0,HARD,2.0,23.2,18.1,50.0,1017.2,236,0.4,False,21.439,-22.165,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,17.0,97.392,14.0,2.0,HARD,2.0,23.4,18.1,51.0,1017.1,178,0.7,False,-0.89,1.5190000000000001,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,18.0,97.59,14.0,3.0,HARD,2.0,23.3,18.1,50.0,1017.1,303,0.0,False,0.007,0.53,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,19.0,97.763,14.0,4.0,HARD,2.0,23.3,18.1,50.0,1017.1,71,0.5,False,-0.029000000000000026,0.569,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,20.0,97.701,14.0,5.0,HARD,2.0,23.2,18.1,50.0,1017.1,27,0.7,False,-0.361,0.484,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,21.0,97.918,14.0,6.0,HARD,2.0,23.1,18.1,50.0,1017.1,94,0.7,False,-0.09199999999999997,-0.526,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,22.0,98.031,14.0,7.0,HARD,2.0,23.2,18.1,50.0,1017.2,37,0.5,False,-0.11599999999999999,-0.281,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,23.0,97.869,14.0,8.0,HARD,2.0,23.0,18.1,50.0,1017.1,338,0.8,False,-0.42400000000000004,-0.09699999999999998,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,24.0,98.204,14.0,9.0,HARD,2.0,23.0,18.1,50.0,1017.2,25,0.3,False,0.048,-0.43799999999999994,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,25.0,98.226,14.0,10.0,HARD,2.0,23.0,18.1,49.0,1017.1,47,0.7,False,-0.06399999999999995,-0.253,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,26.0,98.1,14.0,11.0,HARD,2.0,22.9,18.1,49.0,1017.2,29,0.0,False,0.007,-0.07099999999999995,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,27.0,98.296,14.0,12.0,HARD,2.0,22.9,18.1,49.0,1017.2,246,0.7,False,-2.414,-0.14400000000000002,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,28.0,98.048,13.0,13.0,HARD,2.0,22.8,18.1,49.0,1017.3,55,0.6,False,0.112,-0.0030000000000000027,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,29.0,97.879,12.0,14.0,HARD,2.0,22.8,18.0,49.0,1017.3,45,0.6,False,-0.08599999999999997,0.081,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,30.0,97.968,12.0,15.0,HARD,2.0,22.7,18.0,49.0,1017.2,28,0.7,False,-0.07199999999999995,0.01,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,31.0,98.135,12.0,16.0,HARD,2.0,22.7,18.0,49.0,1017.3,53,0.5,False,0.135,0.019,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,32.0,98.183,11.0,17.0,HARD,2.0,22.7,18.0,49.0,1017.3,82,0.8,False,0.336,-0.15800000000000003,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,33.0,98.346,11.0,18.0,HARD,2.0,22.7,18.0,49.0,1017.3,28,0.7,False,0.848,-0.19599999999999995,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,34.0,97.75,11.0,19.0,HARD,2.0,22.7,17.9,49.0,1017.3,29,0.0,False,-3.085,0.496,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,35.0,97.767,10.0,20.0,HARD,2.0,22.7,18.0,49.0,1017.4,328,0.6,False,-21.936,2.828,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,36.0,100.333,10.0,21.0,HARD,2.0,22.6,18.0,50.0,1017.4,41,0.7,False,5.18,-4.247,0,1
2024,1,Bahrain Grand Prix,ALB,23,Williams,37.0,117.632,16.0,1.0,HARD,3.0,22.5,17.9,50.0,1017.4,156,0.4,False,22.469,-21.052,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,38.0,96.129,16.0,2.0,HARD,3.0,22.6,17.9,50.0,1017.4,59,0.8,False,0.669,0.685,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,39.0,95.856,16.0,3.0,HARD,3.0,22.4,17.9,50.0,1017.5,142,0.6,False,0.381,0.696,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,40.0,95.723,16.0,4.0,HARD,3.0,22.4,17.9,50.0,1017.4,33,0.4,False,0.145,0.885,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,41.0,95.885,16.0,5.0,HARD,3.0,22.4,17.9,50.0,1017.4,0,0.4,False,-3.684,0.736,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,42.0,95.799,15.0,6.0,HARD,3.0,22.4,17.9,50.0,1017.4,50,0.0,False,0.461,0.793,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,43.0,95.766,15.0,7.0,HARD,3.0,22.2,17.9,50.0,1017.4,141,0.6,False,0.206,0.913,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,44.0,95.783,15.0,8.0,HARD,3.0,22.2,17.9,50.0,1017.4,1,0.4,False,0.293,0.866,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,45.0,95.758,15.0,9.0,HARD,3.0,22.1,17.8,51.0,1017.5,0,0.5,False,0.188,2.291,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,46.0,96.008,15.0,10.0,HARD,3.0,22.0,17.8,51.0,1017.5,270,0.0,False,0.501,0.967,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,47.0,96.026,15.0,11.0,HARD,3.0,21.9,17.8,51.0,1017.5,0,0.7,False,0.195,0.63,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,48.0,96.135,15.0,12.0,HARD,3.0,22.0,17.7,51.0,1017.5,356,0.0,False,-0.10099999999999998,0.982,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,49.0,97.102,15.0,13.0,HARD,3.0,22.0,17.7,51.0,1017.4,0,0.4,False,0.66,0.624,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,50.0,97.616,15.0,14.0,HARD,3.0,21.9,17.7,51.0,1017.4,0,0.0,False,1.007,-2.449,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,51.0,97.493,15.0,15.0,HARD,3.0,22.0,17.6,51.0,1017.5,138,0.4,False,0.39,-1.964,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,52.0,96.218,15.0,16.0,HARD,3.0,21.9,17.6,51.0,1017.5,0,0.4,False,-2.824,-0.29700000000000004,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,53.0,96.308,15.0,17.0,HARD,3.0,21.9,17.6,51.0,1017.5,330,0.0,False,-0.53,-0.31399999999999995,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,54.0,96.334,15.0,18.0,HARD,3.0,21.9,17.6,51.0,1017.5,213,0.3,False,-0.33799999999999997,-0.548,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,55.0,96.593,15.0,19.0,HARD,3.0,21.9,17.6,51.0,1017.5,12,0.0,False,-0.6759999999999999,-0.857,0,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,56.0,96.922,15.0,20.0,HARD,3.0,22.0,17.7,51.0,1017.5,96,0.0,False,-0.5509999999999999,-1.3199999999999998,0,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,1.0,101.679,6.0,4.0,SOFT,1.0,23.8,18.2,49.0,1017.2,58,1.5,False,1.059,0.489,0,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,2.0,98.02,6.0,5.0,SOFT,1.0,23.8,18.3,49.0,1017.0,33,1.1,False,0.784,-0.010000000000000009,0,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,3.0,99.046,7.0,6.0,SOFT,1.0,23.8,18.3,49.0,1017.0,32,1.0,False,1.259,-0.788,0,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,4.0,97.776,7.0,7.0,SOFT,1.0,23.7,18.3,49.0,1017.0,24,0.9,False,0.326,0.121,0,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,5.0,99.292,8.0,8.0,SOFT,1.0,23.5,18.3,50.0,1017.1,40,1.5,False,1.433,-0.942,0,0
